iter	RMSE
0	5184.740435
1	5115.348811
2	5025.30884
3	4951.114098
4	4876.527995
5	4802.563846
6	4739.123215
7	4670.974919
8	4600.950324
9	4523.872569
10	4457.326276
11	4396.443321
12	4336.269431
13	4263.687467
14	4206.616669
15	4146.972548
16	4088.364937
17	4031.09968
18	3963.306452
19	3903.774288
20	3843.42462
21	3798.113359
22	3734.315263
23	3678.800435
24	3630.110677
25	3574.933641
26	3531.347875
27	3478.599024
28	3427.213812
29	3384.956466
30	3350.331275
31	3310.583369
32	3264.532308
33	3224.180677
34	3179.493211
35	3136.317011
36	3099.293934
37	3062.932
38	3023.398604
39	2987.965863
40	2947.536935
41	2918.103077
42	2883.04516
43	2852.673115
44	2822.238578
45	2787.542721
46	2756.892371
47	2724.393241
48	2688.772056
49	2654.142282
50	2625.341963
51	2600.582002
52	2572.864364
53	2544.50119
54	2515.530733
55	2491.316333
56	2462.104643
57	2431.217167
58	2405.971978
59	2382.863168
60	2357.745117
61	2336.989926
62	2318.472893
63	2295.082421
64	2272.210447
65	2248.085084
66	2226.515169
67	2200.029076
68	2178.613513
69	2155.516161
70	2135.1727
71	2117.171892
72	2095.664988
73	2076.440913
74	2056.742666
75	2037.145148
76	2019.431583
77	2003.226618
78	1987.707242
79	1971.035518
80	1957.297726
81	1943.778906
82	1928.259178
83	1913.143001
84	1896.848527
85	1881.832131
86	1869.33616
87	1852.57493
88	1839.157406
89	1825.568643
90	1810.319405
91	1798.779568
92	1786.513198
93	1773.94893
94	1759.507663
95	1746.035737
96	1733.613517
97	1724.698192
98	1713.524781
99	1701.243301
100	1688.706403
101	1678.588409
102	1671.449789
103	1659.255415
104	1648.892946
105	1638.824632
106	1625.246114
107	1614.835218
108	1603.872443
109	1592.584266
110	1586.898231
111	1573.960967
112	1564.779624
113	1555.509909
114	1547.597806
115	1542.060862
116	1533.283007
117	1524.09364
118	1514.854763
119	1508.762126
120	1497.66289
121	1490.037892
122	1481.507059
123	1473.417503
124	1467.443034
125	1463.961984
126	1457.202832
127	1449.438812
128	1441.309989
129	1434.498925
130	1428.211363
131	1420.948565
132	1411.130386
133	1405.835585
134	1394.351105
135	1387.067728
136	1379.331541
137	1372.582548
138	1368.748854
139	1361.090082
140	1355.849113
141	1353.021546
142	1348.499442
143	1342.972659
144	1340.369547
145	1334.355184
146	1330.900194
147	1326.320978
148	1319.677791
149	1312.322399
150	1308.208566
151	1302.440372
152	1297.197478
153	1290.193544
154	1285.824262
155	1275.305364
156	1264.600978
157	1258.175535
158	1253.742932
159	1245.902515
160	1239.739039
161	1232.78174
162	1225.024098
163	1220.191889
164	1217.982377
165	1210.845683
166	1208.597914
167	1204.716907
168	1199.530872
169	1197.520859
170	1193.466227
171	1191.490901
172	1187.849129
173	1181.755184
174	1179.396166
175	1176.427422
176	1169.658324
177	1165.534652
178	1161.380996
179	1155.747975
180	1151.849368
181	1148.33294
182	1144.503373
183	1139.668246
184	1137.576823
185	1133.265987
186	1131.506571
187	1128.159804
188	1123.988728
189	1121.602657
190	1120.050863
191	1115.684977
192	1112.821223
193	1108.051339
194	1103.326274
195	1099.678916
196	1097.758572
197	1094.19877
198	1091.276658
199	1089.742528
200	1088.501026
201	1086.422594
202	1082.702745
203	1077.44235
204	1075.680367
205	1071.230542
206	1068.176581
207	1066.796186
208	1061.364289
209	1059.164348
210	1056.582573
211	1054.27004
212	1052.99366
213	1047.845628
214	1045.666276
215	1039.325311
216	1034.800322
217	1029.593986
218	1027.739134
219	1019.632518
220	1017.506144
221	1015.902833
222	1013.709789
223	1011.559652
224	1008.00611
225	1006.32814
226	1003.713236
227	1000.07037
228	998.2021399
229	996.0285473
230	991.5040199
231	989.2833812
232	985.953912
233	980.9999288
234	977.3176643
235	973.9939112
236	971.6210712
237	966.9713017
238	962.9455585
239	958.0701102
240	955.7559221
241	951.9036405
242	946.679185
243	944.929797
244	939.9168751
245	938.1663068
246	936.6512015
247	934.9233495
248	933.2222858
249	931.5791043
250	929.36542
251	926.7239558
252	924.9605741
253	922.374033
254	920.3056777
255	918.6484273
256	916.9773805
257	915.6824502
258	911.5535703
259	910.2096773
260	906.2675294
261	904.9478639
262	901.7516434
263	897.7428511
264	894.6240722
265	890.1042305
266	887.7317854
267	882.4740412
268	880.5669948
269	876.4274751
270	872.6470677
271	870.826876
272	868.451747
273	866.6414805
274	864.0396632
275	861.1737814
276	855.2500954
277	852.5648355
278	849.7219365
279	847.2654293
280	845.5766798
281	841.6200181
282	839.4262068
283	836.3380549
284	834.5941189
285	833.2796092
286	827.9262651
287	827.0248222
288	824.8753429
289	823.5596007
290	821.1874228
291	816.5356582
292	811.791711
293	805.8407839
294	804.8521133
295	802.1503988
296	797.5560377
297	795.8210569
298	790.8659844
299	789.4064694
300	788.4056394
301	785.2771647
302	783.137716
303	782.3703233
304	781.3713256
305	780.4106443
306	779.3118159
307	777.2642738
308	774.9994352
309	772.6892752
310	771.7715284
311	769.7802516
312	767.9213948
313	767.0629293
314	763.2506931
315	761.0236056
316	760.1433585
317	756.0712172
318	753.9785519
319	752.3363898
320	748.930684
321	747.7261058
322	745.9382928
323	741.6498737
324	740.0421988
325	736.7973541
326	733.1539911
327	728.6433213
328	727.5912122
329	725.3105086
330	723.443677
331	721.7420157
332	719.2459879
333	715.6812869
334	713.5940947
335	712.8518907
336	711.3353987
337	710.5610345
338	709.8717679
339	706.5772896
340	705.8676888
341	704.0450265
342	702.9236374
343	699.9908143
344	698.1448119
345	696.7946544
346	695.7608123
347	693.0434905
348	691.2134731
349	689.5140859
350	685.329922
351	682.189651
352	680.1676794
353	677.5999165
354	673.717039
355	672.1470626
356	668.1048964
357	664.7529311
358	661.3091047
359	659.1633941
360	655.4729157
361	651.7568397
362	650.5527398
363	646.4712931
364	642.2937832
365	639.0453889
366	636.7848859
367	633.3046278
368	630.6806144
369	627.981333
370	625.5669932
371	620.9447056
372	617.6141455
373	614.943584
374	612.0068767
375	609.1491086
376	607.7361304
377	607.1760719
378	605.0970056
379	600.9987452
380	600.4166952
381	598.6553451
382	596.0097901
383	594.8305255
384	591.2010104
385	588.9557654
386	587.596638
387	586.0089609
388	582.622296
389	581.1635269
390	579.6505659
391	577.2137656
392	574.0104904
393	572.6825933
394	569.8333746
395	566.4522007
396	564.9314783
397	564.3379193
398	562.6469744
399	560.520165
400	559.3440979
401	558.723729
402	556.2338346
403	555.2145738
404	552.242973
405	551.4284966
406	550.1222868
407	547.5988684
408	546.0337883
409	541.0397987
410	537.3221805
411	534.5147907
412	533.3950297
413	531.3618438
414	528.3980605
415	527.1340664
416	525.3278762
417	523.8044977
418	522.5679004
419	520.0917311
420	517.3278308
421	516.2362235
422	514.9706983
423	513.4089607
424	512.2778079
425	509.4536505
426	506.1701355
427	505.1773127
428	503.0789974
429	501.6796145
430	499.7179117
431	498.0995086
432	496.5389707
433	493.4359713
434	490.9150195
435	488.886504
436	486.4428469
437	485.7831349
438	485.286253
439	484.2533763
440	483.1297188
441	482.679186
442	481.084377
443	479.0714118
444	476.5101025
445	474.6292919
446	472.2199079
447	470.1127085
448	469.1864136
449	468.1278243
450	466.424419
451	465.1484654
452	464.3975737
453	463.3004821
454	462.3532266
455	459.4371762
456	458.570099
457	457.1317973
458	456.3639736
459	454.3063486
460	453.715047
461	452.6818588
462	449.8020912
463	448.8575668
464	448.2370419
465	446.730661
466	446.3415773
467	445.7695707
468	443.905579
469	442.3626883
470	440.7837324
471	438.6759861
472	436.8103166
473	435.6750119
474	433.6895412
475	431.689376
476	430.6061767
477	429.1647466
478	428.7692166
479	428.3646892
480	426.5750094
481	424.3717338
482	422.6050251
483	420.7835995
484	419.8929829
485	418.1078269
486	417.820716
487	417.4713632
488	415.8904682
489	413.9423622
490	413.5741923
491	412.2879307
492	410.3135913
493	408.3486956
494	406.0178373
495	405.12663
496	403.8685309
497	402.7827948
498	402.2393243
499	401.2249659
500	400.4301768
501	399.4604371
502	398.2157152
503	397.6801859
504	395.602014
505	393.4295373
506	391.9184919
507	391.422458
508	389.4992376
509	388.724925
510	387.1581567
511	385.757448
512	385.3383786
513	384.3671143
514	382.4818949
515	381.8726626
516	379.6920747
517	378.1686157
518	377.336081
519	375.1518045
520	374.2227638
521	371.4295495
522	370.9733131
523	369.4625339
524	367.4440877
525	364.914866
526	364.5184949
527	364.0196932
528	361.9671328
529	360.7296167
530	359.8053364
531	358.2113933
532	357.1322356
533	355.9075457
534	354.1031974
535	352.42723
536	351.8381396
537	349.8564592
538	349.0198448
539	347.8366573
540	346.8854829
541	346.2852633
542	344.8233277
543	343.5106046
544	341.8230519
545	340.9638181
546	339.9518758
547	338.0661105
548	336.4888121
549	335.5156359
550	333.7940435
551	332.2242285
552	330.8002068
553	330.0581302
554	329.3385163
555	327.4913103
556	326.2839915
557	325.0058855
558	322.9525721
559	321.99419
560	320.6959685
561	319.7365462
562	319.217626
563	317.3638793
564	316.0513908
565	315.3036364
566	313.8623121
567	312.0597658
568	311.6755412
569	310.8257192
570	309.1565618
571	307.7029353
572	306.3908228
573	304.6760682
574	303.5260604
575	302.5788671
576	301.1675292
577	300.1158723
578	298.5581477
579	297.9609128
580	296.4468905
581	295.9593591
582	294.0571663
583	292.6639267
584	291.6902337
585	291.1373895
586	290.9389487
587	289.9088179
588	288.5714527
589	287.9920951
590	287.0685734
591	285.9893815
592	285.5013191
593	283.6919606
594	283.2875407
595	282.705433
596	280.8705714
597	278.9462917
598	277.3667733
599	275.9401325
600	275.3525308
601	274.2172324
602	273.1454496
603	272.2273976
604	271.9563482
605	270.523289
606	269.4155328
607	268.3822415
608	266.9157367
609	266.4445612
610	265.6008547
611	265.120143
612	263.7820577
613	262.9243177
614	261.1231025
615	259.6382428
616	258.9858208
617	257.6179567
618	256.8899284
619	255.4967428
620	254.4052147
621	253.906998
622	253.4435694
623	252.95893
624	251.878772
625	251.255638
626	250.046226
627	249.779545
628	249.6042643
629	249.0860716
630	248.7691773
631	247.707954
632	246.8696851
633	246.2143924
634	245.0750729
635	243.8143998
636	242.9252981
637	241.672377
638	241.3060003
639	239.8272826
640	238.6004673
641	238.3767373
642	238.0477327
643	237.8110821
644	236.1701588
645	235.7824896
646	234.4371719
647	233.586054
648	232.1746155
649	231.9601495
650	230.7055379
651	229.959862
652	228.9942889
653	227.582597
654	225.9660434
655	224.7925396
656	224.5845588
657	223.5148323
658	222.5828555
659	221.6478158
660	220.7050421
661	220.5249007
662	219.9151002
663	218.7304687
664	217.9857322
665	216.9364166
666	216.0870079
667	215.8874796
668	214.5372808
669	214.3345393
670	213.7400657
671	212.6523336
672	212.0894037
673	211.5415663
674	211.3471921
675	210.6393386
676	209.5736289
677	208.5912107
678	207.4496718
679	206.4629505
680	205.9341326
681	205.0460906
682	204.8566208
683	204.1571191
684	203.0443423
685	201.8926949
686	201.5478669
687	201.2050238
688	200.3602799
689	199.1413767
690	198.4173253
691	197.4300363
692	196.8465132
693	196.1747274
694	195.3325189
695	194.2058954
696	193.7140515
697	192.8051386
698	192.6301479
699	191.6973941
700	191.5184005
701	191.2053163
702	190.3734948
703	189.9206858
704	188.8778237
705	188.03912
706	187.8661398
707	187.2103866
708	186.879634
709	185.6191436
710	185.4185016
711	184.9978368
712	184.4333631
713	183.4820113
714	182.5454706
715	182.3516562
716	181.4172914
717	180.6139505
718	179.940612
719	179.7857625
720	179.2563754
721	178.6361158
722	177.2579418
723	176.801962
724	176.3346798
725	175.926189
726	174.8651043
727	174.5940831
728	173.5506764
729	173.1675809
730	172.3175683
731	171.4317927
732	170.7085668
733	170.5162332
734	170.3416121
735	169.8668019
736	169.7447913
737	169.2479593
738	169.1003628
739	168.8464689
740	167.6896593
741	167.5274339
742	167.0190539
743	166.8615588
744	165.9322918
745	165.6137201
746	164.5173692
747	163.7404206
748	163.5503491
749	162.7472574
750	161.9068014
751	161.1558386
752	160.1773449
753	159.7733233
754	159.6430846
755	158.8544162
756	158.645528
757	158.0205793
758	157.2802081
759	156.7235046
760	156.3636839
761	155.705678
762	155.0883327
763	154.7174788
764	154.3915117
765	153.6643839
766	153.476611
767	153.1059838
768	152.6324196
769	152.0791856
770	151.269699
771	150.9291924
772	150.6061132
773	149.6892411
774	149.2710786
775	148.7648808
776	147.8210788
777	147.5380266
778	147.247962
779	146.7207035
780	146.2741184
781	145.4485154
782	144.6240468
783	144.377446
784	143.3842546
785	142.8561384
786	142.6659294
787	142.3086821
788	142.0651409
789	141.4724459
790	141.0000389
791	140.3880737
792	140.2068209
793	139.7415789
794	139.2656591
795	139.141812
796	138.2248718
797	137.275063
798	136.7446261
799	136.6209018
800	136.5166432
801	135.9452138
802	135.4715739
803	135.3661509
804	134.8412632
805	134.0277662
806	133.3571352
807	132.7408678
808	132.0165631
809	131.4949344
810	131.2913452
811	130.8438553
812	130.6866031
813	130.472247
814	130.0276352
815	129.758498
816	129.336268
817	128.7017428
818	128.5037732
819	127.8252256
820	127.4851497
821	127.3846938
822	126.8443591
823	126.7000357
824	126.612527
825	126.3874246
826	125.6828167
827	125.5837278
828	125.1287592
829	124.6974653
830	124.3792802
831	124.2465267
832	124.103718
833	123.6560073
834	123.1587374
835	123.0438248
836	122.7375515
837	122.0656111
838	121.5244404
839	121.3478834
840	120.9685948
841	120.1441514
842	119.6044135
843	119.2531804
844	118.7678081
845	118.2880349
846	117.59702
847	117.0449742
848	116.9458211
849	116.4332322
850	116.0005374
851	115.5373797
852	115.0863353
853	114.4723933
854	114.1256973
855	113.7131109
856	113.2698902
857	112.8853423
858	112.4571833
859	111.8246711
860	111.5102998
861	111.1477208
862	110.6656655
863	110.1457008
864	109.8614464
865	109.7148338
866	109.4931927
867	109.1252591
868	108.5388659
869	108.044599
870	107.8271394
871	107.5569479
872	107.1898866
873	106.9327676
874	106.4718169
875	106.1957365
876	106.0869032
877	105.726112
878	105.1987868
879	104.7480571
880	104.3839461
881	104.2070463
882	103.4844776
883	103.0204133
884	102.4325532
885	102.2126336
886	101.8945749
887	101.5612713
888	100.977361
889	100.6992661
890	100.5354913
891	100.1497609
892	99.56437269
893	99.38928004
894	99.00570592
895	98.67178276
896	98.32908952
897	98.25231459
898	97.74654753
899	97.42891746
900	97.25110634
901	97.0588188
902	96.61297273
903	96.49320757
904	96.30329171
905	95.80959363
906	95.49133838
907	95.11313159
908	94.78968172
909	94.64556407
910	94.17554933
911	93.77255123
912	93.49227688
913	93.14989281
914	92.97335097
915	92.59651375
916	92.52881049
917	92.19508269
918	91.80840975
919	91.25939266
920	90.99048522
921	90.52986361
922	90.12435701
923	89.72718666
924	89.33837827
925	88.81931862
926	88.55148247
927	88.40749613
928	87.82915038
929	87.4807444
930	87.00954836
931	86.61903883
932	86.42606692
933	86.35183876
934	86.10304465
935	85.7272468
936	85.651157
937	85.2465328
938	84.90308621
939	84.43813826
940	83.98374815
941	83.78898891
942	83.42770613
943	82.97769748
944	82.5236236
945	82.27728876
946	82.08540175
947	81.81499982
948	81.56968775
949	81.27998918
950	81.07086801
951	80.61150542
952	80.21798278
953	79.72532454
954	79.36476527
955	79.02437077
956	78.64179191
957	78.19651868
958	77.82708764
959	77.47152488
960	77.40115767
961	77.19469985
962	77.12776002
963	76.7986258
964	76.57241997
965	76.36739564
966	76.15833167
967	75.82084693
968	75.72061387
969	75.65453777
970	75.40360591
971	75.13791177
972	75.00795871
973	74.59761716
974	74.42442763
975	74.23735367
976	74.04090566
977	73.67679905
978	73.41487506
